videoID;Artist;Location;Date;Title;viewCount
gjMBua_1J4Y;Seth Troxler;Mexico;2014-04-04;Seth Troxler Boiler Room & Ballantine's Stay True Mexico DJ Set;301979
m0AavdaZo34;Oscar Mulero;Dekmantel Festival;2014-08-14;Oscar Mulero Boiler Room x Dekmantel Festival DJ Set;268025
Cj1LDGo-SQo;TA-KU;Los Angeles;2013-04-09;TA-KU Boiler Room Los Angeles DJ Set;285881
ZyOqiIKoMQw;Ellen Allien;Berlin;2012-11-16;Ellen Allien 70 min Boiler Room Berlin DJ Set;682116
aiqhC24NJhc;Dominik Eulberg;Berlin;2013-04-02;Dominik Eulberg Boiler Room Berlin DJ Set;1166837
YIcbIIHcx44;Nina Kraviz;Scotland;2015-06-21;Nina Kraviz Boiler Room & Ballantine's Stay True Scotland DJ Set;652164
O8_A3juzav8;Black Motion;South Africa;2015-03-23;Black Motion Boiler Room & Ballantine's Stay True South Africa DJ Set;258375
lXCNw1DaIzo;?uestlove;NYC;2012-11-27;?uestlove Boiler Room DJ Set RBMA takeover NYC;354163
644UU55eyzk;Frankie Knuckles;NYC;2013-05-12;Frankie Knuckles Boiler Room NYC DJ Set;1831230
Wx4LBAn0-Ow;Joe Claussell;Paris Weather Festival;2014-06-01;Joe Claussell Boiler Room Paris X Weather Festival DJ Set;262294
O-LKGZ1FiEQ;dOP;Berlin;2014-10-20;dOP Boiler Room Berlin Live Set;382727
eaOcTN6EORw;Seth Troxler;Amsterdam;2012-06-01;Seth Troxler 50 min Boiler Room Amsterdam DJ set;258967
TaFJGvwaczU;Robert Hood;Mutek;2013-06-26;Robert Hood Boiler Room x Red Bull Music Academy DJ set at Mutek;433185
DGWL7YI_2rI;Ben Klock;Berlin;2013-02-22;Ben Klock Boiler Room Berlin DJ Set;2482629
xogJgUteDAs;Nina Kraviz;Berlin;2013-02-22;Nina Kraviz Boiler Room Berlin DJ Set;3495084
EfZu4BCi644;Acid Pauli;Tulum;2015-03-04;Acid Pauli Boiler Room Tulum DJ Set;1120396
xSH84m5ktUw;Adriatique;Tulum;2015-03-15;Adriatique Boiler Room Tulum DJ Set;380182
7J59dvHC8RE;The Martinez Brothers;Ibiza;2014-08-29;The Martinez Brothers Boiler Room Ibiza DJ Set;1062807
U4dK9yodrsk;Baauer;New York;2012-08-03;Baauer 50 min Boiler Room New York DJ Set;504281
kemmHXG6dL8;ESTA;London;2014-06-10;ESTA Boiler Room London DJ Set;318056
4_Jk34-b_Jw;Buraka Som Sistema;Lisboa;2013-02-21;Buraka Som Sistema Boiler Room Lisboa DJ Set - Red Bull Music Academy Takeover;752767
03Y27qBl8Js;Rone;Nuits Sonores Festival;2013-06-10;Rone Boiler Room LIVE Show / Nuits Sonores Festival;554447
xb5tRh-bURU;Detroit Swindle;undefined;2013-07-04;Detroit Swindle Boiler Room DJ Set;348994
ECfxP6OpsNU;Toro y Moi;Los Angeles;2012-11-30;Toro y Moi Boiler Room Los Angeles DJ Set;382627
11Yd9u6BN4o;Jazzy Jeff;London;2014-04-22;Jazzy Jeff Boiler Room London DJ Set;896621
LxUZ1A6xbWw;A-Trak;undefined;2012-06-06;A-Trak Boiler Room DJ Set;364516
